"","x"
"ASTRONOMICAL HIGH TIDE",103
"ASTRONOMICAL LOW TIDE",174
"AVALANCHE",386
"BLIZZARD",2719
"COASTAL FLOOD",650
"COASTAL FLOODING",143
"COLD/WIND CHILL",539
"DENSE FOG",1293
"DROUGHT",2488
"DRY MICROBURST",186
"DUST DEVIL",141
"DUST STORM",427
"EXCESSIVE HEAT",1678
"EXTREME COLD",655
"EXTREME COLD/WIND CHILL",1002
"EXTREME WINDCHILL",204
"FLASH FLOOD",54277
"FLASH FLOODING",682
"FLOOD",25326
"FLOOD/FLASH FLOOD",624
"FLOODING",120
"FOG",538
"FREEZING RAIN",250
"FROST/FREEZE",1342
"FUNNEL CLOUD",6839
"HAIL",288661
"HEAT",767
"HEAVY RAIN",11723
"HEAVY SNOW",15708
"HEAVY SURF/HIGH SURF",228
"HIGH SURF",725
"HIGH WIND",20212
"HIGH WINDS",1533
"HURRICANE",174
"ICE STORM",2006
"LAKE-EFFECT SNOW",636
"LANDSLIDE",600
"LIGHT SNOW",154
"LIGHTNING",15754
"MARINE HAIL",442
"MARINE HIGH WIND",135
"MARINE THUNDERSTORM WIND",5812
"MARINE TSTM WIND",6175
"MODERATE SNOWFALL",101
"RECORD WARMTH",146
"RIP CURRENT",470
"RIP CURRENTS",304
"RIVER FLOOD",173
"SNOW",587
"STORM SURGE",261
"STORM SURGE/TIDE",148
"STRONG WIND",3566
"STRONG WINDS",196
"THUNDERSTORM WIND",82563
"THUNDERSTORM WINDS",20843
"TORNADO",60652
"TROPICAL STORM",690
"TSTM WIND",219940
"TSTM WIND/HAIL",1028
"UNSEASONABLY WARM",126
"URBAN FLOOD",249
"URBAN/SML STREAM FLD",3392
"WATERSPOUT",3796
"WILD/FOREST FIRE",1457
"WILDFIRE",2761
"WIND",340
"WINTER STORM",11433
"WINTER WEATHER",7026
"WINTER WEATHER/MIX",1104
